,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,smoothing_end_date,closed,version,shared,date,date_week,date_month,date_year,date_year_week,date_year_month,order_nature,order_nature_closed,status
2,134558,2022-10-03 13:29:16.506500,2022-10-03 13:29:16.509500,Marwa,Marwa,False,,2022-10-03 13:29:16.510500,2022-10-03 13:29:16.510500,,2110,105,981241148,IS0023355M,105A-93VU,KD,1,2022-11-07,2022-11-08,X,,,None,A310511485,,3.0,3.0,test,3.0,1,2022-11-08,,,2022-11-10 18:48:00,False,2,True,2022-11-08,45,11,2022,2022-W45,2022-M11,OP,OPFalse,open
3,134559,2022-10-03 13:29:16.506500,2022-10-03 13:29:16.509500,Marwa,Marwa,False,,2022-10-03 13:29:16.510500,2022-10-03 13:29:16.510500,,2110,105,982517261,IS0023355M,105A-93VU,KD,1,2022-11-04,2022-11-07,X,2022-11-08,15.0,None,A310511535,,3.0,3.0,test,3.0,1,2022-11-08,,,2022-11-11 14:00:00,False,2,True,2022-11-08,45,11,2022,2022-W45,2022-M11,OP,OPFalse,open
4,134560,2022-10-03 13:29:16.506500,2022-10-03 13:29:16.509500,Marwa,Marwa,False,,2022-10-03 13:29:16.510500,2022-10-03 13:29:16.510500,,2110,105,981234368,IS0023355M,105A-93VU,KD,1,2022-11-08,2022-11-09,X,,,None,A310511502,,3.0,3.0,test,3.0,1,2022-11-09,,,2022-11-14 09:12:00,False,2,True,2022-11-09,45,11,2022,2022-W45,2022-M11,OP,OPFalse,open
5,134561,2022-10-03 13:29:16.506500,2022-10-03 13:29:16.509500,Marwa,Marwa,False,,2022-10-03 13:29:16.510500,2022-10-03 13:29:16.510500,,2110,105,981234362,IS0023355M,105A-93VU,KD,1,2022-11-08,2022-11-09,X,2022-11-10,15.0,None,A310511480,,3.0,3.0,test,3.0,1,2022-11-10,,,2022-11-14 20:24:00,False,2,True,2022-11-10,45,11,2022,2022-W45,2022-M11,OP,OPFalse,open
6,134562,2022-10-03 13:29:16.506500,2022-10-03 13:29:16.509500,Marwa,Marwa,False,,2022-10-03 13:29:16.510500,2022-10-03 13:29:16.510500,,2110,105,981234344,IS0023355M,105A-93VU,KD,1,2022-11-09,2022-11-10,X,2022-11-11,15.0,None,A310511427,,3.0,3.0,test,3.0,1,2022-11-11,,,2022-11-15 15:36:00,False,2,True,2022-11-11,45,11,2022,2022-W45,2022-M11,OP,OPFalse,open
7,134563,2022-10-03 13:29:16.506500,2022-10-03 13:29:16.509500,Marwa,Marwa,False,,2022-10-03 13:29:16.510500,2022-10-03 13:29:16.510500,,2110,105,981241151,IS0023355M,105A-93VU,KD,1,2022-11-11,2022-11-14,X,,,None,A310511498,,3.0,3.0,test,3.0,1,2022-11-14,,,2022-11-16 10:48:00,False,2,True,2022-11-14,46,11,2022,2022-W46,2022-M11,OP,OPFalse,open
8,134564,2022-10-03 13:29:16.506500,2022-10-03 13:29:16.509500,Marwa,Marwa,False,,2022-10-03 13:29:16.510500,2022-10-03 13:29:16.510500,,2110,105,982517258,IS0023355M,105A-93VU,KD,1,2022-11-10,2022-11-11,X,2022-11-14,15.0,None,A310511500,,3.0,3.0,test,3.0,1,2022-11-14,,,2022-11-17 06:00:00,False,2,True,2022-11-14,46,11,2022,2022-W46,2022-M11,OP,OPFalse,open
9,134565,2022-10-03 13:29:16.506500,2022-10-03 13:29:16.509500,Marwa,Marwa,False,,2022-10-03 13:29:16.510500,2022-10-03 13:29:16.510500,,2110,105,981234356,IS0023355M,105A-93VU,KD,1,2022-11-11,2022-11-14,X,2022-11-16,15.0,None,A310511460,,3.0,3.0,test,3.0,1,2022-11-16,,,2022-11-17 17:12:00,False,2,True,2022-11-16,46,11,2022,2022-W46,2022-M11,OP,OPFalse,open
10,134566,2022-10-03 13:29:16.506500,2022-10-03 13:29:16.509500,Marwa,Marwa,False,,2022-10-03 13:29:16.510500,2022-10-03 13:29:16.510500,,2110,105,981234369,IS0023355M,105A-93VU,KD,1,2022-11-14,2022-11-15,X,2022-11-16,15.0,None,A310511506,,3.0,3.0,test,3.0,1,2022-11-16,,,2022-11-18 12:24:00,False,2,True,2022-11-16,46,11,2022,2022-W46,2022-M11,OP,OPFalse,open
11,134567,2022-10-03 13:29:16.506500,2022-10-03 13:29:16.509500,Marwa,Marwa,False,,2022-10-03 13:29:16.510500,2022-10-03 13:29:16.510500,,2110,105,981234376,IS0023355M,105A-93VU,KD,1,2022-11-15,2022-11-16,X,2022-11-17,15.0,None,A310511580,,3.0,3.0,test,3.0,1,2022-11-17,,,2022-11-21 07:36:00,False,2,True,2022-11-17,46,11,2022,2022-W46,2022-M11,OP,OPFalse,open
